,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
67,不配慢歌,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-27 20:11:00,2019-03-14 13:39:31,feed,七点多的时候突然发现日代店的这个！都不敢相信dprogram居然有秒杀！然后和小姐姐一起开着秒表抢单就拍到啦！但是超级没有成就感QAQ到现在还没有拍完……但是给大家安利这一款啊希望日代店日常也有货！@小超人在巴黎​,4299827800162481,4,12, 1
68,阿柴Yuki,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-24 23:20:00,2019-03-14 13:39:33,feed,基础系列，CPB水乳和雅漾是家中常备，期间还用过大葡萄水乳，dprogram水乳，以及最近新入的HABA。这些都不错！dprogram不适合夏天，秋冬很棒。大葡萄反过来只适合夏天。​,4298788283313662,0,0, 1
69,敢兽weng,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-23 22:59:00,2019-03-14 13:39:35,feed,7瓶水5瓶是空瓶我对dprogram是真爱了。用了1年半了，成功从油皮专为中性皮。​,4298420615777414,1,27, 8
70,懒猫猫寻,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-05 13:07:00,2019-03-14 13:39:38,feed,dprogram敏感话题润色隔离CC霜和粉饼L懒猫猫寻的秒拍视频​,4291748559175342,0,0,0
71,摘下酸柠檬的伪装,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-02 19:54:00,2019-03-14 13:39:40,feed,我一直以为是有天晚上摸了发油睡觉的时候油蹭到了脸上才爆痘的现在想想好像不是，有可能我开始换DProgram的乳液或者rmk粉底开始的太惨了，我要停用等痘消，再试验一下​,4290763690441903,1,3,0
72,一只莹儿w,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-02 10:19:00,2019-03-14 13:39:42,feed,一个空瓶dprogram无功无过​,4290619180462276,0,5,0
73,十点半还是鬼故事,no location,no gender,no rank,no follow,no follower,no weibo,2018-10-01 13:57:00,2019-03-14 13:39:45,feed,试了试粉底，右边脸颊就红肿了一块。难过，还是dprogram粉饼安心～不能再作了！国庆快乐！我的国，快乐！​,4290311548710537,1,7, 1
74,是阿蔡不是阿拆啊,no location,no gender,no rank,no follow,no follower,no weibo,2018-09-29 23:08:00,2019-03-14 13:39:47,feed,开新瓶希望dprogram能救救我的脸​,4289725542029966,0,4, 1
75,suzana_sloth,no location,no gender,no rank,no follow,no follower,no weibo,2018-09-24 00:36:00,2019-03-14 13:39:48,feed,"👋如果有有趣的观点，就录来听听吧。自己的声音怎么听怎么奇怪。#录一下#AndIwon‘ttocheckifthereisamistake.仅仅是为了练舌头，不想有100%正确的压力。Hi,itisaninterestingideaaboutAI(ArtificialIntelligence)whichIheardfromanEnglishProgram.I’dlike​展开全文c",4287573335332403,0,0,0
76,Thomas的照相机,no location,no gender,no rank,no follow,no follower,no weibo,2018-09-20 11:02:00,2019-03-14 13:39:51,feed,因为皇儿迟迟不发货dprogram我的洗面奶完全告急，昨天在香港随便抓了一只用。是起泡瓶，泡沫超级绵密，至于清洁力度，我觉得和RENsimplefreeplus那些差不多吧！哎呀好久没有用日本牌子，还是日本洗面奶好用！！！​,4286281187738260,0,1,0
77,种草少女寒寒,no location,female,no rank,588,716099,5616,2018-09-18 20:46:00,2019-03-14 13:44:59,feed,「资生堂dprogram新品粉饼」看介绍运用了药用护肤成分，化妆的同时还有护肤效果皮肤粗糙，敏感肌时期可以用，感觉好像还不错诶！种草了(´▽`ʃ♡ƪ).L美妆星球种草酱的秒拍视频​,4285703338504412,138,34, 233
78,SHIY呀,浙江绍兴,female,Lv.33,387,611,546,2018-09-16 17:52:00,2019-03-14 13:45:04,feed,日常纠结买什么水乳是黛珂植物韵律还是黛珂紫苏还是资生堂dprogram​,4284934778319488,0,94, 5
79,AnotherS_,其他,female,Lv.9,577,79,157,2018-09-15 23:34:00,2019-03-14 13:45:09,feed,今天是快乐肥宅日睡不着的午后晚上开了新瓶dprogram​,4284658524834072,0,6,0
